symbol,exchange,name,sector,industry,cap_category,index
BAJFINANCE.NS,NSE,Bajaj Finance Limited,,,,
BALAJEE.NS,NSE,Shree Tirupati Balajee Agro Trading Company Limited,,,,
BALAJITELE.NS,NSE,Balaji Telefilms Limited,,,,
BALAMINES.NS,NSE,Balaji Amines Limited,,,,
BALAXI.NS,NSE,BALAXI PHARMACEUTICALS LIMITED,,,,
BALKRISHNA.NS,NSE,Balkrishna Paper Mills Limited,,,,
BALKRISIND.NS,NSE,Balkrishna Industries Limited,,,,
BALMLAWRIE.NS,NSE,Balmer Lawrie & Company Limited,,,,
BALPHARMA.NS,NSE,Bal Pharma Limited,,,,
BALRAMCHIN.NS,NSE,Balrampur Chini Mills Limited,,,,
BALUFORGE.NS,NSE,Balu Forge Industries Limited,,,,
BANARBEADS.NS,NSE,Banaras Beads Limited,,,,
BANARISUG.NS,NSE,Bannari Amman Sugars Limited,,,,
BANCOINDIA.NS,NSE,Banco Products (I) Limited,,,,
BANDHANBNK.NS,NSE,Bandhan Bank Limited,,,,
BANG.NS,NSE,Bang Overseas Limited,,,,
BANKA.NS,NSE,Banka BioLoo Limited,,,,
BANKBARODA.NS,NSE,Bank of Baroda,,,,
BANKINDIA.NS,NSE,Bank of India,,,,
BANSALWIRE.NS,NSE,Bansal Wire Industries Limited,,,,
BANSWRAS.NS,NSE,Banswara Syntex Limited,,,,
BASF.NS,NSE,BASF India Limited,,,,
BASML.NS,NSE,Bannari Amman Spinning Mills Limited,,,,
BATAINDIA.NS,NSE,Bata India Limited,,,,
BATLIBOI.NS,NSE,Batliboi Limited,,,,
BAYERCROP.NS,NSE,Bayer Cropscience Limited,,,,
BBL.NS,NSE,Bharat Bijlee Limited,,,,
BBOX.NS,NSE,Black Box Limited,,,,
BBTC.NS,NSE,The Bombay Burmah Trading Corporation Limited,,,,
BBTCL.NS,NSE,B&B Triplewall Containers Limited,,,,
BCG.NS,NSE,Brightcom Group Limited,,,,
BCLIND.NS,NSE,Bcl Industries Limited,,,,
BCONCEPTS.NS,NSE,Brand Concepts Limited,,,,
BCPL.NS,NSE,BCPL Railway Infrastructure Limited,,,,
BDL.NS,NSE,Bharat Dynamics Limited,,,,
BEARDSELL.NS,NSE,Beardsell Limited,,,,
BECTORFOOD.NS,NSE,Mrs. Bectors Food Specialities Limited,,,,
BEDMUTHA.NS,NSE,Bedmutha Industries Limited,,,,
BEEKAY.NS,NSE,Beekay Steel Industries Limited,,,,
BEL.NS,NSE,Bharat Electronics Limited,,,,
BELLACASA.NS,NSE,Bella Casa Fashion & Retail Limited,,,,
BELRISE.NS,NSE,Belrise Industries Limited,,,,
BEML.NS,NSE,BEML Limited,,,,
BENARAS.NS,NSE,Benares Hotels Limited,,,,
BENGALASM.NS,NSE,Bengal & Assam Company Limited,,,,
BEPL.NS,NSE,Bhansali Engineering Polymers Limited,,,,
BERGEPAINT.NS,NSE,Berger Paints (I) Limited,,,,
BESTAGRO.NS,NSE,Best Agrolife Limited,,,,
BETA.NS,NSE,Beta Drugs Limited,,,,
BFINVEST.NS,NSE,BF Investment Limited,,,,
BFUTILITIE.NS,NSE,BF Utilities Limited,,,,
BGRENERGY.NS,NSE,BGR Energy Systems Limited,,,,
BHAGCHEM.NS,NSE,Bhagiradha Chemicals & Industries Limited,,,,
BHAGERIA.NS,NSE,Bhageria Industries Limited,,,,
BHAGYANGR.NS,NSE,Bhagyanagar India Limited,,,,
BHANDARI.NS,NSE,Bhandari Hosiery Exports Limited,,,,
BHARATCOAL.NS,NSE,Bharat Coking Coal Limited,,,,
BHARATFORG.NS,NSE,Bharat Forge Limited,,,,
BHARATGEAR.NS,NSE,Bharat Gears Limited,,,,
BHARATRAS.NS,NSE,Bharat Rasayan Limited,,,,
BHARATSE.NS,NSE,Bharat Seats Limited,,,,
BHARATWIRE.NS,NSE,Bharat Wire Ropes Limited,,,,
BHARTIARTL.NS,NSE,Bharti Airtel Limited,,,,
BHARTIHEXA.NS,NSE,Bharti Hexacom Limited,,,,
BHEL.NS,NSE,Bharat Heavy Electricals Limited,,,,
BI.NS,NSE,Bilcare Limited,,,,
BIGBLOC.NS,NSE,Bigbloc Construction Limited,,,,
BIKAJI.NS,NSE,Bikaji Foods International Limited,,,,
BIL.NS,NSE,Bhartiya International Limited,,,,
BILVYAPAR.NS,NSE,BIL VYAPAR LIMITED,,,,
BIMETAL.NS,NSE,Bimetal Bearings Limited,,,,
BIOCON.NS,NSE,Biocon Limited,,,,
BIOFILCHEM.NS,NSE,Biofil Chemicals & Pharmaceuticals Limited,,,,
BIRLACABLE.NS,NSE,Birla Cable Limited,,,,
BIRLACORPN.NS,NSE,Birla Corporation Limited,,,,
BIRLAMONEY.NS,NSE,Aditya Birla Money Limited,,,,
BIRLANU.NS,NSE,BirlaNu Limited,,,,
BIRLAPREC.NS,NSE,Birla Precision Technologies Limited,,,,
BLACKBUCK.NS,NSE,BLACKBUCK LIMITED,,,,
BLACKROSE.NS,NSE,Black Rose Inds. Limited,,,,
BLAL.NS,NSE,BEML Land Assets Limited,,,,
BLBLIMITED.NS,NSE,BLB Limited,,,,
BLEL.NS,NSE,Behari Lal Engineering Limited,,,,
BLIL.NS,NSE,Balmer Lawrie Investments Limited,,,,
BLISSGVS.NS,NSE,Bliss GVS Pharma Limited,,,,
BLKASHYAP.NS,NSE,B. L. Kashyap and Sons Limited,,,,
BLS.NS,NSE,BLS International Services Limited,,,,
BLSE.NS,NSE,BLS E-Services Limited,,,,
BLUECLOUDS.NS,NSE,Blue Cloud Softech Solutions Limited,,,,
BLUECOAST.NS,NSE,Blue Coast Hotels Limited,,,,
BLUEDART.NS,NSE,Blue Dart Express Limited,,,,
BLUEJET.NS,NSE,Blue Jet Healthcare Limited,,,,
BLUESTARCO.NS,NSE,Blue Star Limited,,,,
BLUESTONE.NS,NSE,BlueStone Jewellery and Lifestyle Limited,,,,
BLUSPRING.NS,NSE,Bluspring Enterprises Limited,,,,
BMWVENTLTD.NS,NSE,BMW Ventures Limited,,,,
BNAGROCHEM.NS,NSE,BN Agrochem Limited,,,,
BNALTD.NS,NSE,B & A Limited,,,,
BODALCHEM.NS,NSE,Bodal Chemicals Limited,,,,
BOHRAIND.NS,NSE,Bohra Industries Limited,,,,
BOMDYEING.NS,NSE,Bombay Dyeing & Mfg Company Limited,,,,
BONLON.NS,NSE,Bonlon Industries Limited,,,,
BORANA.NS,NSE,Borana Weaves Limited,,,,
BOROLTD.NS,NSE,Borosil Limited,,,,
BORORENEW.NS,NSE,BOROSIL RENEWABLES LIMITED,,,,
BOROSCI.NS,NSE,Borosil Scientific Limited,,,,
BOSCH-HCIL.NS,NSE,BOSCH HOME COMFORT INDIA LIMITED,,,,
BOSCHLTD.NS,NSE,Bosch Limited,,,,
BPCL.NS,NSE,Bharat Petroleum Corporation Limited,,,,
BPL.NS,NSE,BPL Limited,,,,
BPLPHARMA.NS,NSE,Bharat Parenterals Limited,,,,
BRAHMINFRA.NS,NSE,Brahmaputra Infrastructure Limited,,,,
BRIGADE.NS,NSE,Brigade Enterprises Limited,,,,
BRIGHOTEL.NS,NSE,Brigade Hotel Ventures Limited,,,,
BRIGHTBR.NS,NSE,Bright Brothers Limited,,,,
BRITANNIA.NS,NSE,Britannia Industries Limited,,,,
BRNL.NS,NSE,Bharat Road Network Limited,,,,
BROOKS.NS,NSE,Brooks Laboratories Limited,,,,
BSE.NS,NSE,BSE Limited,,,,
BSHSL.NS,NSE,Bombay Super Hybrid Seeds Limited,,,,
BSL.NS,NSE,BSL Limited,,,,
BSOFT.NS,NSE,BIRLASOFT LIMITED,,,,
BTML.NS,NSE,Bodhi Tree Multimedia Limited,,,,
BTTL.NS,NSE,Bhilwara Technical Textiles Limited,,,,
BUILDPRO.NS,NSE,Shankara Buildpro Limited,,,,
BURNPUR.NS,NSE,Burnpur Cement Limited,,,,
BUTTERFLY.NS,NSE,Butterfly Gandhimathi Appliances Limited,,,,
BVCL.NS,NSE,Barak Valley Cements Limited,,,,
BYKE.NS,NSE,The Byke Hospitality Ltd,,,,
CALSOFT.NS,NSE,California Software Company Limited,,,,
CAMLINFINE.NS,NSE,Camlin Fine Sciences Limited,,,,
CAMPUS.NS,NSE,Campus Activewear Limited,,,,
CAMS.NS,NSE,Computer Age Management Services Limited,,,,
CANBK.NS,NSE,Canara Bank,,,,
CANFINHOME.NS,NSE,Can Fin Homes Limited,,,,
CANHLIFE.NS,NSE,Canara HSBC Life Insurance Company Limited,,,,
CANTABIL.NS,NSE,Cantabil Retail India Limited,,,,
CAPACITE.NS,NSE,Capacit'e Infraprojects Limited,,,,
CAPILLARY.NS,NSE,Capillary Technologies India Limited,,,,
CAPITALSFB.NS,NSE,Capital Small Finance Bank Limited,,,,
CAPLIPOINT.NS,NSE,Caplin Point Laboratories Limited,,,,
CAPTRUST.NS,NSE,Capital Trust Limited,,,,
CARBORUNIV.NS,NSE,Carborundum Universal Limited,,,,
CARERATING.NS,NSE,CARE Ratings Limited,,,,
CARRARO.NS,NSE,Carraro India Limited,,,,
CARTRADE.NS,NSE,Cartrade Tech Limited,,,,
CARYSIL.NS,NSE,CARYSIL LIMITED,,,,
CASTROLIND.NS,NSE,Castrol India Limited,,,,
CCAVENUE.NS,NSE,AvenuesAI Limited,,,,
CCCL.NS,NSE,Consolidated Construction Consortium Limited,,,,
CCHHL.NS,NSE,Country Club Hospitality & Holidays Limited,,,,
CCL.NS,NSE,CCL Products (India) Limited,,,,
CDSL.NS,NSE,Central Depository Services (India) Limited,,,,
CEATLTD.NS,NSE,CEAT Limited,,,,
CEIGALL.NS,NSE,Ceigall India Limited,,,,
CEINSYS.NS,NSE,Ceinsys Tech Limited,,,,
CELEBRITY.NS,NSE,Celebrity Fashions Limited,,,,
CELLO.NS,NSE,Cello World Limited,,,,
CEMPRO.NS,NSE,Cemindia Projects Limited,,,,
CENTENKA.NS,NSE,Century Enka Limited,,,,
CENTEXT.NS,NSE,Century Extrusions Limited,,,,
CENTEXT-RE.NS,NSE,Century Extrusions Limited-RE,,,,
CENTRALBK.NS,NSE,Central Bank of India,,,,
CENTRUM.NS,NSE,Centrum Capital Limited,,,,
